,Timestamp,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost
335,24/11/2020 17:35:46,33,Male,Munich,Software Engineer,10.0,4.0,Senior,C#,Javascript / Typescript,78000.0,30.0,full-time,Unlimited contract,German,51-100,Product,No
336,24/11/2020 17:37:32,32,Male,Berlin,Backend Developer,4.0,1.0,Senior,Ruby,"Python, SQL, Go, AWS, Kubernetes, Docker",65000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
337,24/11/2020 17:38:29,47,Male,Hamburg,Software Engineer,22.0,10.0,Senior,C++/C#,"C/C++, .NET, SQL",46000.0,30.0,full-time,Unlimited contract,English,up to 10,Product,No
338,24/11/2020 17:38:51,29,Male,Berlin,Backend Developer,8.0,1.5,Middle,Go,Python,65000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
339,24/11/2020 17:39:35,28,Male,Munich,Software Engineer,5.0,6.0,Senior,C++,"Python, C/C++",67000.0,20.0,freelancer,Unlimited contract,English,up to 10,Startup,Yes
341,24/11/2020 17:40:40,25,Male,Hamburg,Data Scientist,2.0,2.0,Middle,Python,.NET,48000.0,28.0,full-time,Unlimited contract,German,11-50,Product,No
342,24/11/2020 17:40:57,32,Male,Munich,SAP Developer,9.0,1.0,Senior,ABAP,SAP / ABAP,70800.0,30.0,full-time,Unlimited contract,German,1000+,Consulting / Agency,No
344,24/11/2020 17:45:03,26,Male,Frankfurt,Software Engineer,3.0,1.0,Middle,Python ,"Python, Java / Scala",48000.0,27.0,full-time,Unlimited contract,English,51-100,Consulting / Agency,No
345,24/11/2020 17:45:39,29,Male,Munich,Mobile Developer,8.0,0.25,Senior,Java/Kotlin,"Kotlin, C/C++, Java / Scala",65400.0,30.0,full-time,Unlimited contract,English,11-50,Consulting / Agency,No
346,24/11/2020 17:47:00,40,Male,Berlin,Backend Developer,18.0,2.5,Senior,php,"PHP, SQL, Go, Docker, Postgres",60000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
348,24/11/2020 17:51:26,27,Male,Munich,Software Engineer,5.0,1.0,Senior,Javascript,"Javascript / Typescript, Go",65000.0,22.0,full-time,Unlimited contract,English,51-100,Product,No
351,24/11/2020 17:57:20,30,Male,Berlin,DevOps,9.0,5.0,Lead,Kubernetes,"Python, Google Cloud, Kubernetes, Docker",90000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
352,24/11/2020 17:57:39,30,Male,Hamburg,Software Engineer,6.0,0.0,Middle,.NET,"Javascript / Typescript, .NET, SQL, Docker",60000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
353,24/11/2020 18:01:03,29,Male,Munich,SW Architect,8.0,3.0,Senior,C++,"Python, C/C++, Docker",73000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
354,24/11/2020 18:06:17,37,Male,Heidelberg,Software Engineer,15.0,7.0,Senior,ABAP,"Javascript / Typescript, SAP / ABAP",67500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
355,24/11/2020 18:09:09,28,Male,Berlin,SRE,6.0,1.5,Middle,Kubernetes,"Python, Go, AWS, Kubernetes, Docker",66000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
358,24/11/2020 18:12:43,28,Male,Stuttgart,Backend Developer,5.0,1.5,Middle,Java,Linux,55000.0,30.0,full-time,Unlimited contract,German,101-1000,Product,No
359,24/11/2020 18:13:06,33,Male,Berlin,Software Engineer,13.0,3.0,Senior,Ruby,"Ruby, Java / Scala, Go, AWS, Kubernetes, Docker",75000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
362,24/11/2020 18:22:41,40,Male,Frankfurt,Software Engineer,22.0,3.0,Senior,Java,"Kotlin, Javascript / Typescript, Java / Scala, Kubernetes, Docker",72000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No
363,24/11/2020 18:25:30,28,Male,Munich,"Fullstack engineer, ну или Software engineer",9.0,1.0,Senior,React/Typescript,MongoDB,60000.0,28.0,full-time,Unlimited contract,English,up to 10,Startup,No
364,24/11/2020 18:27:22,29,Male,Berlin,Backend Developer,11.0,2.0,Senior,Python,"Python, Go, AWS, Kubernetes, Docker",85000.0,30.0,full-time,Unlimited contract,English,51-100,Product,No
365,24/11/2020 18:31:25,31,Male,Berlin,Software Engineer,9.0,1.0,Lead,Java,"AWS, Docker",75000.0,24.0,full-time,Unlimited contract,English,1000+,Startup,No
366,24/11/2020 18:32:14,24,Male,Aachen,HiWi,3.0,2.0,Junior,Python,"Python, C/C++",10164.0,14.0,part-time,Temporary contract,English,11-50,University,No
368,24/11/2020 18:36:46,31,Male,Munich,Software Engineer,11.0,1.0,Middle,Python,Docker,75000.0,100.0,full-time,Unlimited contract,English,1000+,Product,No
369,24/11/2020 18:37:32,44,Male,Munich,Software Engineer,28.0,6.0,Senior,C#,"C/C++, .NET, SQL",78500.0,30.0,full-time,Unlimited contract,English,51-100,Product,No
372,24/11/2020 18:40:13,32,Male,Berlin,Software Engineer,12.0,1.0,Senior,Java,"Python, SQL, AWS, Kubernetes, Docker",83000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
374,24/11/2020 18:48:30,30,Male,Karlsruhe ,Backend Developer,8.0,8.0,Lead,Python,"Python, C/C++, Javascript / Typescript, Java / Scala",65000.0,29.0,part-time,Unlimited contract,English,up to 10,Product,No
375,24/11/2020 18:49:18,33,Male,Berlin,Software Engineer,10.0,1.0,Middle,iOS,Swift,65000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
376,24/11/2020 18:49:33,46,Male,Munich,Software Engineer,10.0,2.0,Senior,Python ,"Javascript / Typescript, AWS",68500.0,28.0,full-time,Unlimited contract,English,51-100,Startup,No
377,24/11/2020 18:50:28,27,Male,Berlin,Frontend Developer,8.0,1.0,Middle,Angular,Javascript / Typescript,45000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
379,24/11/2020 18:51:35,32,Male,Berlin,Backend Developer,5.0,3.0,Middle,Ruby,"Javascript / Typescript, AWS, Docker",72000.0,30.0,full-time,Unlimited contract,English,11-50,Product,No
380,24/11/2020 18:52:09,34,Male,Berlin,Software Engineer,15.0,2.0,Lead,Java,"Java / Scala, SQL",80000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
381,24/11/2020 18:53:16,33,Male,Berlin,Software Engineer,10.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,Salesforce ,"Python, Javascript / Typescript, Apex",68000.0,25.0,full-time,Temporary contract,English,11-50,Startup,No
382,24/11/2020 18:53:57,26,Male,"Riga, Latvia",Software Engineer,4.0,0.0,Middle,javascript,"Javascript / Typescript, SAP / ABAP",24000.0,20.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
383,24/11/2020 18:54:07,41,Male,Berlin,Software Engineer,19.0,7.0,Lead,Python,"C/C++, SQL, AWS, Kubernetes, Docker",95500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
384,24/11/2020 18:54:54,35,Male,Cologne,Software Engineer,14.0,7.0,Senior,C++,"Python, C/C++, SQL",72000.0,35.0,full-time,Unlimited contract,English,101-1000,Product,No
385,24/11/2020 18:58:54,26,Male,Hamburg,Software Engineer,7.0,3.5,Senior,TypeScript,"Python, Javascript / Typescript, AWS, Docker",72000.0,27.0,full-time,Unlimited contract,German,101-1000,Consulting / Agency,No
387,24/11/2020 18:59:38,24,Male,Munich,Software Engineer,3.0,2.0,Middle,Java/C++,"Python, C/C++, Javascript / Typescript, Java / Scala, SQL, Kubernetes",77600.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
388,24/11/2020 19:07:37,35,Male,Hamburg,Software Engineer,13.0,3.0,Lead,Scala / Python,"Python, Ruby, Java / Scala, Google Cloud, Kubernetes, Docker",95000.0,25.0,full-time,Unlimited contract,English,51-100,Startup,No
389,24/11/2020 19:07:57,31,Male,Dusseldorf,Software Engineer,7.0,3.0,Senior,C++,"Python, C/C++, Javascript / Typescript, SQL",50400.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
391,24/11/2020 19:12:16,30,Male,Moscow,Backend Developer,2.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Middle,Python,"Python, SQL, Docker",13000.0,28.0,full-time,Unlimited contract,Russian,51-100,Startup,No
393,24/11/2020 19:15:02,30,Male,Moscow,Software Engineer,5.0,0.0,Middle,C,C/C++,14712.0,30.0,full-time,Unlimited contract,Russian,101-1000,Product,No
395,24/11/2020 19:19:30,35,Male,Berlin,QA Engineer,11.0,10.0,Senior,Java,"Python, Javascript / Typescript, .NET, Java / Scala, Kubernetes, Docker",74400.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
396,24/11/2020 19:24:50,37,Male,Hamburg,Software Engineer,15.0,5.0,Senior,Java,"Python, Javascript / Typescript, Java / Scala, Go, AWS, Kubernetes, Docker",70000.0,25.0,full-time,Temporary contract,English,11-50,Startup,No
397,24/11/2020 19:30:15,36,Male,Hamburg,Backend Developer,10.0,5.0,Senior,Java/Scala,"Python, Go, AWS, Docker",82000.0,30.0,full-time,Unlimited contract,German,51-100,Product,No
400,24/11/2020 19:41:27,23,Male,Berlin,Software Engineer,4.0,1.0,Middle,Javascript,"Javascript / Typescript, SQL, AWS, Docker",70500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
401,24/11/2020 19:42:42,39,Male,Stuttgart,Software Engineer,11.0,3.0,Lead,PHP,"PHP, SQL, Kubernetes, Docker",75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
402,24/11/2020 19:47:34,27,Female,Berlin,Data Scientist,3.0,3.0,Middle,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",58000.0,24.0,full-time,Unlimited contract,English,51-100,Product,No
403,24/11/2020 19:48:24,50,Male,Berlin,Software Engineer,29.0,2.0,Lead,C++,"C/C++, PHP, SQL",28800.0,30.0,full-time,Unlimited contract,German,11-50,IT-Outsourcing,No
406,24/11/2020 20:01:18,35,Male,Helsinki,Backend Developer,11.0,2.5,Senior,python,"SQL, AWS, Docker",66000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
407,24/11/2020 20:02:15,29,Male,Berlin,Backend Developer,10.0,1.0,Senior,Ruby,Go,80000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
408,24/11/2020 20:02:34,30,Male,Munich,Mobile Developer,8.0,2.0,Lead,Swift,Swift,75000.0,24.0,full-time,Unlimited contract,English,11-50,Startup,No
409,24/11/2020 20:04:24,24,Male,Frankfurt,Frontend Developer,3.0,0.0,Middle,JavaScript,"Javascript / Typescript, Docker",44000.0,26.0,full-time,Unlimited contract,English,51-100,Product,No
410,24/11/2020 20:04:37,28,Male,Würzburg,Software Engineer,8.0,0.0,Senior,Java,"Kotlin, Javascript / Typescript",75000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
411,24/11/2020 20:14:50,28,Male,Berlin,Backend Developer,9.0,2.0,Senior,PHP,"SQL, AWS, Docker",60000.0,25.0,full-time,Unlimited contract,English,11-50,Product,No
413,24/11/2020 20:18:31,37,Male,Berlin,Software Engineer,8.0,5.0,Senior,Python ,"Python, Javascript / Typescript, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",76900.0,26.0,full-time,Unlimited contract,English,101-1000,Product,No
415,24/11/2020 20:23:56,30,Male,Kiev,Backend Developer,8.0,0.0,Middle,Web developer,"PHP, Javascript / Typescript, SQL, Docker",27000.0,21.0,full-time,Temporary contract,Russian,51-100,Product,No
416,24/11/2020 20:25:32,30,Male,Munich,Frontend Developer,4.0,1.0,Middle,JavaScript/Typescript,"PHP, SQL",55000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
417,24/11/2020 20:26:19,31,Male,Berlin,Software Engineer,4.0,2.0,Lead,Java,"Kotlin, SQL, AWS, Kubernetes, Docker",95000.0,28.0,full-time,Unlimited contract,English,1000+,Startup,No
419,24/11/2020 20:26:58,28,Female,Berlin,Software Engineer,3.0,3.0,Middle,Javascript,"PHP, Javascript / Typescript",60000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
420,24/11/2020 20:28:38,31,Female,Munich,Software Engineer,2.0,2.0,Middle,Java,SQL,58000.0,28.0,full-time,Unlimited contract,German,1000+,Product,No
421,24/11/2020 20:28:49,34,Male,Berlin,Mobile Developer,9.0,2.0,Senior,Android,"Kotlin, Java / Scala",72000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
422,24/11/2020 20:29:04,24,Male,Berlin,Backend Developer,4.0,3.0,Middle,PHP,"SQL, Kubernetes, Docker",46000.0,28.0,full-time,Unlimited contract,English,51-100,Startup,No
423,24/11/2020 20:29:50,39,Male,Berlin,DevOps,15.0,3.0,Senior,Python,"Python, Ruby, Java / Scala, Go, Rust, AWS, Kubernetes, Docker, Terraform, helm, packer",70000.0,21.0,full-time,Unlimited contract,English,101-1000,Product,No
424,24/11/2020 20:30:14,42,Male,Den Haag,Backend Developer,20.0,6.0,Senior,.NET,"Python, Javascript / Typescript, SQL, AWS, Docker",75000.0,25.0,full-time,Unlimited contract,English,101-1000,Product,No
425,24/11/2020 20:37:40,26,Male,London,Frontend Developer,8.0,0.0,Senior,"TypeScript, React","Javascript / Typescript, Google Cloud, Kubernetes, Docker",105000.0,30.0,full-time,Unlimited contract,English,1000+,Startup,No
427,24/11/2020 20:39:33,32,Female,Berlin,Mobile Developer,7.0,3.0,Senior,Kotlin,"Python, Ruby",63000.0,26.0,full-time,Unlimited contract,English,1000+,Product,No
429,24/11/2020 20:41:21,23,Male,Berlin,Mobile Developer,3.0,0.0,Lead,Swift,Swift,65000.0,25.0,full-time,Unlimited contract,English,51-100,Startup,No
431,24/11/2020 21:04:58,27,Male,Amsterdam,ML Engineer,4.0,1.0,Middle,python,"Python, R, SQL, SAP / ABAP, AWS, Kubernetes, Docker",62000.0,25.0,full-time,Unlimited contract,English,1000+,Product,No
432,24/11/2020 21:05:56,27,Male,Berlin,Tech Lead / Full-Stack,5.0,3.5,Lead,Python / JavaScript (React),"Python, Javascript / Typescript, SQL, AWS, Docker, React, Tailwindcss",90000.0,30.0,full-time,Unlimited contract,English,11-50,Startup,No
434,24/11/2020 21:10:08,32,Male,Munich,Software Engineer,10.0,6.0,Senior,Java,"Javascript / Typescript, Go",88000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
435,24/11/2020 21:14:25,31,Male,Berlin,DevOps,11.0,4.0,Senior,Terraform,"PHP, SQL, AWS, Docker",81000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
436,24/11/2020 21:16:30,29,Male,Cracovia,Frontend Developer,2.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Middle,JavaScript,"Javascript / Typescript, Angular",18700.0,22.0,full-time,Unlimited contract,Polish,1000+,Product,No
437,24/11/2020 21:21:56,26,Male,Berlin,Marketing Analyst,7.0,2.0,Middle,SQL,"Python, Javascript / Typescript, Google Cloud",60000.0,27.0,full-time,Unlimited contract,English,101-1000,Startup,No
438,24/11/2020 21:28:26,29,Male,Berlin,Software Engineer,5.0,1.5,Middle,PHP,"Javascript / Typescript, SQL, Docker",56000.0,30.0,full-time,Unlimited contract,English,11-50,Product,No
439,24/11/2020 21:34:09,30,Male,Hamburg,Frontend Developer,7.0,1.0,Senior,JavaScript,Javascript / Typescript,55000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
440,24/11/2020 21:34:10,38,Male,Berlin,Mobile Developer,10.0,4.0,Senior,Swift,"Swift, Objective-C",70000.0,24.0,full-time,Unlimited contract,English,1000+,Product,Yes
441,24/11/2020 21:36:24,32,Male,Berlin,CTO,10.0,4.0,CTO,JAVA,"Python, C/C++",200000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,Yes
442,24/11/2020 21:37:44,25,Male,Berlin,Solutions Architect,6.0,2.0,Middle,Apache Spark,"Python, Java / Scala",100000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
443,24/11/2020 21:38:24,24,Male,Berlin,Backend Developer,3.0,0.0,Junior,C#,"Javascript / Typescript, .NET, Kubernetes, Docker",48000.0,28.0,full-time,Temporary contract,English,1000+,Game Company,No
444,24/11/2020 21:39:12,24,Male,Tallinn,Software Engineer,3.0,0.0,Junior,Java,"Python, SQL",30000.0,28.0,full-time,Unlimited contract,English,11-50,Product,No
445,24/11/2020 21:45:48,27,Male,Prague,Software Engineer,3.0,0.0,Middle,.NET,"Javascript / Typescript, Java / Scala, SQL",21120.0,21.0,full-time,Temporary contract,Czech,11-50,Product,No
446,24/11/2020 21:47:25,34,Female,Berlin,QA Engineer,6.0,2.0,Senior,Ruby,"Ruby, Java / Scala, AWS, Kubernetes, Docker",67500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
447,24/11/2020 21:47:33,30,Male,Utrecht,Data Scientist,2.0,0.0,Middle,python,Google Cloud,48000.0,25.0,full-time,Temporary contract,English,1000+,Product,No
448,24/11/2020 21:52:03,27,Female,Munich,Frontend Developer,2.0,2.0,Middle,JavaScript,Javascript / Typescript,64000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
449,24/11/2020 22:04:32,46,Male,Frankfurt,Software Engineer,23.0,16.0,Senior,C#,"C/C++, Javascript / Typescript, .NET, SQL, Azure",90000.0,30.0,full-time,Unlimited contract,German,1000+,Consulting / Agency,No
450,24/11/2020 22:06:59,48,Male,Berlin,Senior Network&Security Eng.,21.0,17.0,Senior,"Computer Networking,  Network Security ",SQL,68500.0,26.0,full-time,Unlimited contract,English,1000+,Startup,No
452,24/11/2020 22:10:34,40,Female,Berlin,Fullstack Developer,8.0,8.0,Senior,C#,"PHP, Javascript / Typescript, .NET, SQL, Azure, Kubernetes, Docker, React, Angular2+",57000.0,26.0,full-time,Unlimited contract,German,51-100,Product,No
453,24/11/2020 22:17:23,23,Male,Stockholm,Frontend Developer,5.0,1.5,Senior,Javascript,Javascript / Typescript,45600.0,30.0,full-time,Unlimited contract,English,up to 10,Consulting / Agency,No
454,24/11/2020 22:22:57,33,Male,Berlin,Software Engineer,9.223958333333334,10.0,Senior,Java,"Java / Scala, Google Cloud, Kubernetes, Docker",90000.0,25.0,full-time,Unlimited contract,English,1000+,Product,No
456,24/11/2020 22:34:48,40,Male,Braunschweig ,SAP BW Senior Consultant ,11.0,11.0,Senior,SAP BW / ABAP,SAP / ABAP,75000.0,30.0,full-time,Unlimited contract,German,1000+,Financial ,No
457,24/11/2020 22:41:24,38,Male,Dresden,Software Engineer,10.0,10.0,Lead,"Go, PHP, SQL","PHP, SQL, Go, AWS, Docker",62000.0,30.0,full-time,Unlimited contract,German,51-100,Product,No
458,24/11/2020 22:46:49,28,Male,Kyiv,Mobile Developer,5.0,0.0,Senior,Swift,"Swift, Google Cloud",45000.0,20.0,full-time,Unlimited contract,English,11-50,Product,No
459,24/11/2020 22:52:26,38,Male,Berlin,Software Engineer,16.0,2.0,Senior,ABAP,"PHP, SQL, SAP / ABAP, Delphi",83000.0,27.0,full-time,Unlimited contract,English,1000+,Startup,No
460,24/11/2020 23:09:13,32,Male,Hamburg,Software Engineer,12.0,7.0,Senior,Java,"Kotlin, PHP, Javascript / Typescript, Java / Scala",66300.0,28.0,full-time,Unlimited contract,German,101-1000,Product,No
461,24/11/2020 23:20:02,33,Female,Berlin,Software Engineer,6.0,3.0,Middle,java,"SQL, AWS, Kubernetes, Docker",65000.0,28.0,full-time,Unlimited contract,English,1000+,Startup,No
462,24/11/2020 23:38:34,34,Male,Berlin,Software Engineer,13.0,4.0,Lead,Kotlin ,"Python, Kotlin, C/C++, Java / Scala",85000.0,32.0,full-time,Unlimited contract,English,1000+,Product,No
464,24/11/2020 23:42:24,37,Male,Stuttgart ,Software Engineer,9.0,5.0,Senior,Qml,C/C++,60000.0,30.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
466,24/11/2020 23:59:07,33,Male,Berlin,Director of Engineering,10.0,5.0,Director,PHP,"PHP, Javascript / Typescript, Java / Scala, SQL, AWS, Docker",100000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
467,25/11/2020 00:01:55,36,Male,Munich,IT Spezialist,15.0,6.0,Senior,AWS,"Javascript / Typescript, Java / Scala, AWS, Docker",79300.0,30.0,full-time,Unlimited contract,German,1000+,Product,No
469,25/11/2020 00:09:51,27,Male,Frankfurt,Software Engineer,5.0,3.0,Middle,C#/.NET,"C/C++, SQL, VBA",48000.0,28.0,full-time,Unlimited contract,English,up to 10,Consulting / Agency,No
470,25/11/2020 00:41:34,28,Male,Berlin,Software Engineer,6.0,2.0,Middle,PHP,"Javascript / Typescript, SQL, Go, Docker",60000.0,26.0,full-time,Unlimited contract,English,101-1000,E-commerce,No
471,25/11/2020 01:12:28,23,Male,Warsaw,Software Engineer,4.0,0.0,Middle,PHP,"Javascript / Typescript, SQL, Docker",34000.0,28.0,full-time,Temporary contract,English,up to 10,Product,No
472,25/11/2020 01:29:48,31,Female,Berlin,QA Engineer,11.0,1.5,Middle,JS,"Ruby, SQL",57000.0,30.0,full-time,Unlimited contract,English,101-1000,Startup,No
474,25/11/2020 05:58:16,34,Male,Tallinn,Software Engineer,12.0,0.0,Middle,PHP,"Javascript / Typescript, SQL, Go, Docker",54000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
475,25/11/2020 06:05:32,34,Male,Berlin,Software Engineer,10.0,2.0,Senior,.Net,Python,60000.0,28.0,full-time,Unlimited contract,English,11-50,Product,No
476,25/11/2020 06:26:53,29,Male,Tallinn,Mobile Developer,7.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,Android,Kotlin,65000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
477,25/11/2020 07:05:35,38,Male,Munich,Software Engineer,15.0,5.0,Senior,Javascript,"Javascript / Typescript, .NET, SQL, AWS, Kubernetes, Docker",80000.0,30.0,full-time,Unlimited contract,English,51-100,Corporation,No
478,25/11/2020 07:27:58,25,Female,Berlin,Frontend Developer,4.0,1.0,Middle,Javascript / Typescript,NodeJS,60000.0,23.0,full-time,Unlimited contract,English,11-50,Startup,Yes
480,25/11/2020 07:46:34,23,Male,Berlin,Software Engineer,3.0,3.0,Middle,JavaScript,AWS,60000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
481,25/11/2020 07:56:59,30,Male,Munich,Software Engineer,10.0,4.0,Senior,.NET,"Python, Javascript / Typescript, Azure",75000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
482,25/11/2020 08:05:37,32,Male,Berlin,Engineering Manager,10.0,5.0,Middle,JavaScript,"Javascript / Typescript, Ruby, Kubernetes, Docker",85000.0,24.0,full-time,Unlimited contract,English,101-1000,Product,No
483,25/11/2020 08:08:50,28,Male,Berlin,Frontend Developer,2.0,2.0,Junior,JavaScript,"Javascript / Typescript, Google Cloud",47000.0,26.0,full-time,Unlimited contract,German,1000+,Publishing and Technology,No
484,25/11/2020 08:12:21,31,Male,Berlin,ML Engineer,4.0,4.0,Junior,python,"Python, Java / Scala, AWS",62000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No
486,25/11/2020 08:35:46,40,Female,Berlin,Software Engineer,1.5,1.5,Junior,JavaScript ,Ruby,50000.0,30.0,full-time,Unlimited contract,English,51-100,Startup,No
487,25/11/2020 08:39:38,42,Male,Berlin,Software Engineer,17.0,9.0,Senior,Go,"Ruby, AWS, Kubernetes, Docker",75000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
489,25/11/2020 08:47:15,27,Male,Berlin,Software Engineer,6.0,3.0,Middle,Java,"C/C++, Kubernetes, Docker",82000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
490,25/11/2020 08:47:37,29,Male,Munich,Software Engineer,8.0,6.0,Middle,PHP,"Javascript / Typescript, SQL",75000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
491,25/11/2020 08:47:37,37,Male,Malta,Software Architect,18.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Head,Go,"Google Cloud, Kubernetes, Docker, Shell",156000.0,0.0,freelancer,Unlimited contract,English,11-50,Startup,No
492,25/11/2020 08:54:22,23,Male,Berlin,Software Engineer,5.0,0.0,Middle,Python,"Python, C/C++, Javascript / Typescript, SQL, Docker",53000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
493,25/11/2020 08:55:24,35,Male,Munich,Backend Developer,14.0,2.5,Senior,Java,"Kotlin, Java / Scala, SQL, Kubernetes, Docker",77000.0,30.0,full-time,Unlimited contract,English,101-1000,Startup,No
494,25/11/2020 09:00:23,39,Male,Berlin,Manager,11.0,9.0,Head,Python ,"Python, Kotlin, Java / Scala, AWS",180000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
495,25/11/2020 09:03:05,33,Male,Lübeck,Software Engineer,10.0,1.0,Middle,C#,"Javascript / Typescript, .NET",55000.0,27.0,full-time,Unlimited contract,German,101-1000,Product,No
497,25/11/2020 09:05:26,38,Male,Berlin,Data Scientist,15.0,2.0,Head,Python,"Python, SQL, SAP / ABAP, AWS",100000.0,27.0,full-time,Unlimited contract,English,101-1000,Startup,No
498,25/11/2020 09:05:43,31,Male,Hamburg,ML Engineer,3.0,3.0,Lead,Python ,"Kubernetes, Docker",70000.0,30.0,full-time,Unlimited contract,English,11-50,Startup,No
500,25/11/2020 09:06:43,26,Female,Berlin,Data Scientist,2.0,1.0,Junior,Python,"R, SQL, AWS, Docker",47000.0,25.0,full-time,Unlimited contract,English,11-50,Consulting / Agency,No
501,25/11/2020 09:08:09,30,Male,Berlin,Software Engineer,10.0,4.0,Senior,Java,"PHP, Java / Scala",70000.0,27.0,full-time,Unlimited contract,English,11-50,Startup,No
502,25/11/2020 09:14:40,33,Male,Munich,Software Engineer,9.0,9.0,Lead,Java,"Python, Kotlin, Javascript / Typescript, SQL, AWS, Docker",100000.0,29.0,full-time,Unlimited contract,German,51-100,Product,No
503,25/11/2020 09:15:08,33,Male,Munich,Software Engineer,11.0,1.0,Senior,Python,"Python, Javascript / Typescript, SQL, AWS",65000.0,28.0,full-time,Unlimited contract,English,51-100,Startup,No
504,25/11/2020 09:22:40,31,Male,Berlin,Mobile Developer,10.0,3.0,Senior,Swift,Swift,80000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
505,25/11/2020 09:24:45,33,Male,Nuremberg ,Data Scientist,2.0,2.0,Middle,Python,"R, SQL, AWS, Kubernetes, Docker",54000.0,30.0,full-time,Unlimited contract,English,1000+,Market Research ,No
506,25/11/2020 09:29:09,43,Male,Munich,Consultant ,21.0,3.0,Senior,Java,"Javascript / Typescript, .NET, Java / Scala, Docker",72000.0,28.0,full-time,Unlimited contract,German,101-1000,Consulting / Agency,No
507,25/11/2020 09:29:24,36,Male,Berlin,Frontend Developer,14.0,5.0,Senior,Javascript,Javascript / Typescript,78000.0,24.0,full-time,Unlimited contract,English,11-50,Startup,No
